Education,JoiningYear,City,PaymentTier,Age,Gender,EverBenched,ExperienceInCurrentDomain,LeaveOrNot,Salary,,,,,,,
Bachelors,2017,Bangalore,3,36,Male,No,0,0,168251,,,,,,,
Bachelors,2013,Pune,1,30,Female,No,3,1,51063,,,,,,,
Bachelors,2014,New Delhi,3,40,Female,No,2,0,50155,,,,,,,
Masters,2016,Bangalore,3,29,Male,No,5,1,180294,,,,,,,
Masters,2017,Pune,3,26,Male,Yes,2,1,117642,,,,,,,
Bachelors,2016,Bangalore,3,24,Male,No,0,0,72305,,,,,,,
Bachelors,2015,New Delhi,3,40,Male,No,0,0,98189,,,,, ,,
Bachelors,2016,Bangalore,3,36,Female,No,2,1,60918,,,,,,,
Bachelors,2016,Pune,3,25,Male,No,1,0,121587,,,,,,,
Masters,2017,New Delhi,2,39,Male,No,2,0,43010,,,,,,,
Masters,2012,Bangalore,3,29,Male,No,5,1,118457,,,,,,,
Bachelors,2016,Pune,3,36,Male,No,3,0,82965,,,,,,,
Bachelors,2018,Pune,3,34,Male,Yes,5,1,166892,,,,,,,
Bachelors,2016,Bangalore,3,41,Male,No,2,0,92758,,,,,,,
Bachelors,2012,Bangalore,3,39,Male,No,4,0,92220,,,,,,,
Bachelors,2012,Pune,3,31,Male,No,3,0,152654,,,,,,,
Bachelors,2017,Bangalore,1,36,Female,No,2,0,184896,,,,,,,
Bachelors,2014,Bangalore,3,36,Male,No,4,0,197537,,,,,,,
Bachelors,2014,Pune,3,32,Female,No,0,1,141518,,,,,,,
Bachelors,2015,Pune,2,24,Female,No,0,1,73862,,,,,,,
Bachelors,2016,New Delhi,2,39,Male,No,0,0,93967,,,,,,,
Bachelors,2012,Bangalore,3,30,Male,No,4,0,52237,,,,,,,
Bachelors,2017,New Delhi,2,38,Male,No,3,0,111673,,,,,,,
Bachelors,2017,New Delhi,2,29,Male,Yes,5,0,160623,,,,,,,
Bachelors,2015,Bangalore,3,31,Male,No,4,0,42005,,,,,,,
Bachelors,2017,Bangalore,3,24,Female,Yes,0,0,103160,,,,,,,
Bachelors,2013,Bangalore,3,39,Male,No,2,0,153790,,,,,,,
Bachelors,2016,Bangalore,3,25,Male,No,1,0,129625,,,,,,,
Bachelors,2015,Bangalore,3,33,Female,No,2,1,48944,,,,,,,
Bachelors,2013,Pune,2,32,Female,No,2,0,60508,,,,,,,
Bachelors,2017,New Delhi,2,27,Male,No,3,0,67251,,,,,,,
Bachelors,2013,New Delhi,3,25,Male,No,1,0,112715,,,,,,,
Bachelors,2014,Bangalore,3,28,Male,No,4,1,169245,,,,,,,
Bachelors,2018,Bangalore,3,42,Male,No,5,0,170895,,,,,,,
Bachelors,2016,Bangalore,3,39,Female,No,0,1,122226,,,,,,,
Bachelors,2017,Pune,2,32,Female,No,3,0,109394,,,,,,,
Bachelors,2014,Bangalore,1,31,Male,No,3,0,54402,,,,,,,
Bachelors,2012,New Delhi,3,36,Female,No,0,1,129836,,,,,,,
Bachelors,2018,New Delhi,2,31,Female,No,2,1,162159,,,,,,,
Bachelors,2017,Pune,2,32,Male,Yes,4,0,119321,,,,,,,
Bachelors,2014,Pune,3,38,Male,No,1,0,155442,,,,,,,
Bachelors,2015,Bangalore,3,25,Male,No,1,0,114257,,,,,,,
Bachelors,2017,New Delhi,2,32,Male,No,3,1,186280,,,,,,,
Bachelors,2013,Bangalore,3,38,Male,No,0,0,154810,,,,,,,
Bachelors,2014,Bangalore,3,41,Male,No,4,0,85420,,,,,,,
Bachelors,2015,Pune,3,25,Female,No,1,0,94986,,,,,,,
Bachelors,2014,Bangalore,3,29,Male,No,5,0,172098,,,,,,,
Bachelors,2012,New Delhi,3,37,Male,No,2,0,133332,,,,,,,
Bachelors,2013,New Delhi,3,36,Male,No,0,0,61924,,,,,,,
Bachelors,2017,New Delhi,2,32,Female,No,1,0,149262,,,,,,,2
Bachelors,2013,Bangalore,3,36,Male,No,2,0,97904,,,,,,,
Bachelors,2017,New Delhi,3,28,Female,No,4,1,130014,,,,,,,
Bachelors,2015,Pune,2,36,Female,No,0,0,149575,,,,,,,
Bachelors,2016,Bangalore,3,33,Female,Yes,5,0,173226,,,,,,,
Bachelors,2014,Bangalore,3,33,Female,Yes,5,0,165272,,,,,,,
Bachelors,2017,New Delhi,3,30,Male,No,2,0,190139,,,,,,,
Bachelors,2013,New Delhi,3,40,Male,No,2,0,182521,,,,,,,
Bachelors,2016,Bangalore,3,41,Female,No,2,0,114426,,,,,,,
Bachelors,2014,Pune,3,34,Male,No,4,0,101553,,,,,,,
Bachelors,2013,Pune,3,38,Male,No,2,1,181646,,,,,,,
Bachelors,2017,Pune,2,31,Male,No,3,0,46945,,,,,,,
Bachelors,2013,New Delhi,3,32,Male,No,5,0,84318,,,,,,,
Bachelors,2015,Bangalore,3,27,Male,No,3,1,102384,,,,,,,
